@relation users

@attribute stationId {8504182,8504061,8588856,8504062,8588858,8504181,8504065,8588699,8504066,8504184,8504063,8504185,8589145,8589269,8589148,8589143,8589140,8577725,8504862,8504100,8504067,8504188,8590020,8503015,8504622,8504864,8504070,8504071,8589139,8587356,8504074,8587237,8587238,8589135,8589134,8589131,8589130,8594991,8504913,8577837,8504758,8504912,8593300,8593302,8504630,8504631,8506899,8577790,8504480,8587103,8504481,8504086,8587227,8591766,8577819,8593275,8593276,8593277,8577821,8593279,8577786,8577820,8504883,8577784,8577785,8504400,8504881,8577807,8577814,8570463,8593285,8577815,8577812,8577779,8504933,8577810,8573694,8593289,8577811,8570465,8593280,8593281,8577890,8504932,8593282,8593284,8582159,8588535,8504944,8592366,8592367,8593291,8508076,8580521,8570557,8589175,8593617,8593616,8582262,8589177,8589176,8570440,8592374,8592375,8592376,null,8592377,8593622,8592378,8592379,8002102,8589168,8589169,8588350,8589164,8588352,8588990,8588351,8504605,8593593,8592385,8589161,8592387,8595137,8592389,8577742,8577743,8577741,8592382,8590009,8588346,8582487,8588343,8588860,8589157,8588345,8587255,8588344,8589158,8589153,8589273,8588341,8506190,8589155,8589154,8589272,8577736,8589150,8589271,8593247,8581701,8581149,8503000,8504975}
@attribute hourOfDay {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23}
@attribute minuteOfHour {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59}
@attribute dayOfWeek {0,1,2,3,4,5,6,7}
@attribute weekday {true,false}
@attribute previousStationId {8504182,8504061,8588856,8504062,8588858,8504181,8504065,8588699,8504066,8504184,8504063,8504185,8589145,8589269,8589148,8589143,8589140,8577725,8504862,8504100,8504067,8504188,8590020,8503015,8504622,8504864,8504070,8504071,8589139,8587356,8504074,8587237,8587238,8589135,8589134,8589131,8589130,8594991,8504913,8577837,8504758,8504912,8593300,8593302,8504630,8504631,8506899,8577790,8504480,8587103,8504481,8504086,8587227,8591766,8577819,8593275,8593276,8593277,8577821,8593279,8577786,8577820,8504883,8577784,8577785,8504400,8504881,8577807,8577814,8570463,8593285,8577815,8577812,8577779,8504933,8577810,8573694,8593289,8577811,8570465,8593280,8593281,8577890,8504932,8593282,8593284,8582159,8588535,8504944,8592366,8592367,8593291,8508076,8580521,8570557,8589175,8593617,8593616,8582262,8589177,8589176,8570440,8592374,8592375,8592376,null,8592377,8593622,8592378,8592379,8002102,8589168,8589169,8588350,8589164,8588352,8588990,8588351,8504605,8593593,8592385,8589161,8592387,8595137,8592389,8577742,8577743,8577741,8592382,8590009,8588346,8582487,8588343,8588860,8589157,8588345,8587255,8588344,8589158,8589153,8589273,8588341,8506190,8589155,8589154,8589272,8577736,8589150,8589271,8593247,8581701,8581149,8503000,8504975}
@attribute nextStationId {8504182,8504061,8588856,8504062,8588858,8504181,8504065,8588699,8504066,8504184,8504063,8504185,8589145,8589269,8589148,8589143,8589140,8577725,8504862,8504100,8504067,8504188,8590020,8503015,8504622,8504864,8504070,8504071,8589139,8587356,8504074,8587237,8587238,8589135,8589134,8589131,8589130,8594991,8504913,8577837,8504758,8504912,8593300,8593302,8504630,8504631,8506899,8577790,8504480,8587103,8504481,8504086,8587227,8591766,8577819,8593275,8593276,8593277,8577821,8593279,8577786,8577820,8504883,8577784,8577785,8504400,8504881,8577807,8577814,8570463,8593285,8577815,8577812,8577779,8504933,8577810,8573694,8593289,8577811,8570465,8593280,8593281,8577890,8504932,8593282,8593284,8582159,8588535,8504944,8592366,8592367,8593291,8508076,8580521,8570557,8589175,8593617,8593616,8582262,8589177,8589176,8570440,8592374,8592375,8592376,null,8592377,8593622,8592378,8592379,8002102,8589168,8589169,8588350,8589164,8588352,8588990,8588351,8504605,8593593,8592385,8589161,8592387,8595137,8592389,8577742,8577743,8577741,8592382,8590009,8588346,8582487,8588343,8588860,8589157,8588345,8587255,8588344,8589158,8589153,8589273,8588341,8506190,8589155,8589154,8589272,8577736,8589150,8589271,8593247,8581701,8581149,8503000,8504975}

@data
8592376,17,23,2,true,null,null
8592367,15,31,4,true,null,null
8504758,14,8,5,true,null,null
8577790,14,30,6,true,null,null
8589161,5,48,2,true,null,8592379
8592379,6,32,2,true,8589161,8577811
8577811,7,2,2,true,8592379,8504622
8504622,9,22,2,true,8577811,8589140
8589140,12,49,2,true,8504622,null
8592376,4,28,3,true,null,8592382
8592382,4,31,3,true,8592376,8593279
8593279,11,11,3,true,8592382,null
8577811,11,30,4,true,null,8592382
8592382,12,48,4,true,8577811,null
8504100,5,12,5,true,null,8577743
8577743,5,46,5,true,8504100,8577741
8577741,7,15,5,true,8577743,8592366
8592366,8,51,5,true,8577741,8504100
8504100,10,9,5,true,8592366,8589269
8589269,10,57,5,true,8504100,8504100
8504100,13,14,5,true,8589269,8592376
8592376,16,2,5,true,8504100,null
8504100,6,41,6,true,null,8592375
8592375,14,20,6,true,8504100,null
8592376,9,31,7,false,null,null
8504100,6,4,2,true,null,8589175
8589175,11,47,2,true,8504100,null
8504100,6,34,3,true,null,8589177
8589177,8,57,3,true,8504100,null
8577815,5,15,4,true,null,8588350
8588350,5,19,4,true,8577815,8577814
8577814,6,28,4,true,8588350,8577819
8577819,6,46,4,true,8577814,8588350
8588350,7,1,4,true,8577819,8504100
8504100,8,14,4,true,8588350,8589145
8589145,9,25,4,true,8504100,null
8593281,11,19,5,true,null,8504086
8504086,12,10,5,true,8593281,null
8504100,5,23,6,true,null,8592387
8592387,6,8,6,true,8504100,8589135
8589135,11,51,6,true,8592387,null
8504622,6,3,2,true,null,null
8504631,9,46,3,true,null,8588858
8588858,10,13,3,true,8504631,null
8588350,11,24,4,true,null,8577819
8577819,11,25,4,true,8588350,8504184
8504184,12,7,4,true,8577819,null
8577810,12,0,5,true,null,null
8577812,8,43,6,true,null,8588341
8588341,16,6,6,true,8577812,8592375
8592375,19,37,6,true,8588341,8577785
8577785,20,4,6,true,8592375,8504100
8504100,20,21,6,true,8577785,null
8592376,9,16,2,true,null,null
8589176,5,44,6,true,null,8589175
8589175,6,30,6,true,8589176,null
8592376,6,26,1,false,null,8504071
8504071,10,19,1,false,8592376,8504070
8504070,10,21,1,false,8504071,null
8592376,6,32,2,true,null,8588345
8588345,8,2,2,true,8592376,8592376
8592376,13,41,2,true,8588345,null
8577785,15,34,3,true,null,null
8504100,17,31,4,true,null,null
8593275,13,20,5,true,null,8504883
8504883,15,33,5,true,8593275,null
8589130,12,36,6,true,null,8570463
8570463,14,11,6,true,8589130,null
8504100,7,36,4,true,null,null
8588343,8,38,5,true,null,8504605
8504605,10,30,5,true,8588343,8588352
8588352,10,49,5,true,8504605,null
8592375,12,34,6,true,null,8577785
8577785,13,1,6,true,8592375,8592375
8592375,13,11,6,true,8577785,null
8504100,10,29,2,true,null,null
8593616,7,4,3,true,null,null
8592379,9,25,4,true,null,8587238
8587238,9,27,4,true,8592379,null
8592376,9,7,6,true,null,null
8588350,15,43,1,false,null,null
8592376,18,2,2,true,null,null
8504181,12,25,3,true,null,8592376
8592376,18,30,3,true,8504181,null
8577741,14,59,4,true,null,null
8592382,14,52,5,true,null,8592374
8592374,17,28,5,true,8592382,8588860
8588860,17,38,5,true,8592374,8577785
8577785,19,10,5,true,8588860,null
8577807,8,9,3,true,null,null
8577741,9,41,4,true,null,null
8504100,9,23,6,true,null,null
8592376,10,57,7,false,null,null
8589153,9,4,2,true,null,null
8593622,10,28,4,true,null,null
8504067,15,34,7,false,null,8593280
8593280,16,7,7,false,8504067,8594991
8594991,16,27,7,false,8593280,8593616
8593616,20,41,7,false,8594991,8593617
8593617,20,42,7,false,8593616,null
8589175,16,44,5,true,null,null
8588341,10,20,6,true,null,null
8577785,15,49,2,true,null,null
8504100,15,53,4,true,null,null
8577785,14,30,5,true,null,8592376
8592376,20,27,5,true,8577785,null
8592389,10,47,3,true,null,null
8592376,20,0,5,true,null,8588535
8588535,12,50,5,true,8592376,null
8588341,11,4,6,true,null,null
8588344,11,31,7,false,null,null
8592376,7,19,2,true,null,null
8593280,5,18,4,true,null,null
8588535,6,21,5,true,null,8593284
8593284,9,48,5,true,8588535,8592376
8592376,13,11,5,true,8593284,null
8592382,14,46,7,false,null,8577811
